run_id,fold,held_out_user,validation_user,n_train_windows,n_test_windows,trials_used,position_accuracy,macro_f1,room_accuracy,mean_distance_error,median_distance_error,rmse_distance_error,p90_distance_error,majority_position_accuracy,majority_room_accuracy,fit_seconds,predict_seconds,wall_seconds,parameter_count,best_val_accuracy,best_epoch,mean_seconds_per_epoch,samples,stopped_epoch,patience_triggered,model,dataset
dl__cnn__fusion__lovo__ebl-session__s42__9b1404,01,01,06,7331,1558,01,0.1200256739409499,0.1203319289300851,0.4274711168164313,4.348080882083255,4.123105625617661,5.369229595031225,9.219544457292889,0.0198973042362002,0.6527599486521181,18.513404161902145,1.4283530171960592,19.941757179098204,138708.0,0.1233514352211016,7.0,0.8410192999925296,1558.0,22.0,True,,
dl__cnn__fusion__lovo__ebl-session__s42__9b1404,02,02,01,7478,1411,01,0.0807937632884479,0.0575542149404215,0.7476966690290574,3.3169697202455057,2.8284271247461903,4.1456474318664505,7.071067811865476,0.0198440822111977,0.630049610205528,19.219127375865355,1.3557918220758438,20.5749191979412,138708.0,0.134788189987163,8.0,0.8352593990326251,1411.0,23.0,True,,
dl__cnn__fusion__lovo__ebl-session__s42__9b1404,03,03,02,7303,1586,01,0.1134930643127364,0.0906366642416253,0.6923076923076923,3.686622391041827,3.0,4.77270243411321,8.246211251235321,0.019546027742749,0.650063051702396,32.173612902872264,1.7476916529703883,33.92130455584265,138708.0,0.0765414599574769,29.0,0.7307761589340358,1586.0,44.0,True,,
dl__cnn__fusion__lovo__ebl-session__s42__9b1404,04,04,03,7330,1559,01,0.2078255291853752,0.1662346727273031,0.7915330339961514,2.700846466714395,2.0,3.842221802182281,6.324555320336759,0.0198845413726747,0.6555484284797948,22.529780375072733,1.4170218280050904,23.946802203077823,138708.0,0.1311475409836065,13.0,0.8041554639764529,1559.0,28.0,True,,
dl__cnn__fusion__lovo__ebl-session__s42__9b1404,05,05,04,7403,1486,01,0.1561238223418573,0.127760901180086,0.4387617765814266,4.999013752220517,4.123105625617661,6.412995722117528,11.0,0.0188425302826379,0.652086137281292,16.56630865391344,1.687369419960305,18.253678073873743,138708.0,0.1789608723540731,5.0,0.8277660926338285,1486.0,20.0,True,,
dl__cnn__fusion__lovo__ebl-session__s42__9b1404,06,06,05,7600,1289,01,0.0814584949573312,0.0804508221316656,0.7820015515903801,3.176051189395189,3.0,3.872081848733233,6.082762530298219,0.0224980605120248,0.6718386346004654,31.95422292407602,1.7063239309936762,33.6605468550697,138708.0,0.2308209959623149,26.0,0.778946300207569,1289.0,41.0,True,,
dl__cnn__fusion__lovo__ebl-session__s43__a89b5d,01,01,06,7331,1558,01,0.1052631578947368,0.0897875661382858,0.4756097560975609,4.240440823508235,4.0,5.236572779987183,9.055385138137416,0.0198973042362002,0.6527599486521181,19.808603225043043,1.7866350270342082,21.59523825207725,138708.0,0.1357641582622187,9.0,0.8247436279295167,1558.0,24.0,True,,
dl__cnn__fusion__lovo__ebl-session__s43__a89b5d,02,02,01,7478,1411,01,0.0907158043940467,0.0753613620233232,0.7682494684620836,3.5153754843855864,2.8284271247461903,4.5633582073936,8.246211251235321,0.0198440822111977,0.630049610205528,17.72082539112307,1.8163967251311988,19.53722211625427,138708.0,0.1514762516046213,6.0,0.8433205714737553,1411.0,21.0,True,,
dl__cnn__fusion__lovo__ebl-session__s43__a89b5d,03,03,02,7303,1586,01,0.105296343001261,0.080192045923244,0.6242118537200504,3.4887918178515367,3.0,4.394912799132632,7.071067811865476,0.019546027742749,0.650063051702396,16.05033084214665,1.383268357021734,17.433599199168384,138708.0,0.0900070871722182,4.0,0.8442628984339535,1586.0,19.0,True,,
dl__cnn__fusion__lovo__ebl-session__s43__a89b5d,04,04,03,7330,1559,01,0.2206542655548428,0.181387339101698,0.8069275176395125,2.649899395653922,2.0,3.718528404601834,5.830951894845301,0.0198845413726747,0.6555484284797948,32.66068433993496,1.3975418279878795,34.05822616792284,138708.0,0.1229508196721311,28.0,0.7590611450330809,1559.0,43.0,True,,
dl__cnn__fusion__lovo__ebl-session__s43__a89b5d,05,05,04,7403,1486,01,0.1655450874831763,0.1298977546038975,0.4912516823687752,5.025135405437869,4.242640687119285,6.467799940473309,11.04536101718726,0.0188425302826379,0.652086137281292,16.170202345121652,1.9254437130875883,18.09564605820924,138708.0,0.1648492623476587,4.0,0.8505734601180608,1486.0,19.0,True,,
dl__cnn__fusion__lovo__ebl-session__s43__a89b5d,06,06,05,7600,1289,01,0.0581846392552366,0.0558010209952641,0.7882079131109387,3.2207386452044178,3.0,3.952687608806967,7.0,0.0224980605120248,0.6718386346004654,24.98141712206416,1.7364525320008397,26.717869654065,138708.0,0.2207267833109017,15.0,0.8322028097153331,1289.0,30.0,True,,
dl__cnn__fusion__lovo__ebl-session__s44__7b9bf2,01,01,06,7331,1558,01,0.1290115532734274,0.0989130736266468,0.4781771501925546,4.168660819491565,3.605551275463989,5.236879196880661,9.219544457292889,0.0198973042362002,0.6527599486521181,21.766441252082583,1.7383764658588916,23.50481771794148,138708.0,0.1287820015515904,11.0,0.8365746098122775,1558.0,26.0,True,,
dl__cnn__fusion__lovo__ebl-session__s44__7b9bf2,02,02,01,7478,1411,01,0.0921332388377037,0.0594260228966462,0.7668320340184267,3.41158240769105,3.0,4.31551516683803,7.280109889280518,0.0198440822111977,0.630049610205528,25.00579069601372,1.7951242020353677,26.800914898049086,138708.0,0.1450577663671373,16.0,0.8062929596241203,1411.0,31.0,True,,
dl__cnn__fusion__lovo__ebl-session__s44__7b9bf2,03,03,02,7303,1586,01,0.1166456494325346,0.0912097045228385,0.6727616645649432,3.750447771291924,3.1622776601683795,4.836807175916644,9.0,0.019546027742749,0.650063051702396,37.97254072013311,1.4083559501450509,39.38089667027816,138708.0,0.0850460666194188,35.0,0.7590092253079638,1586.0,50.0,True,,
dl__cnn__fusion__lovo__ebl-session__s44__7b9bf2,04,04,03,7330,1559,01,0.2219371391917896,0.1816179201953155,0.8037203335471456,2.8667102240338043,2.23606797749979,4.049485432036022,7.071067811865476,0.0198845413726747,0.6555484284797948,43.53071027388796,1.399920986033976,44.93063125992194,138708.0,0.137452711223203,42.0,0.7633810170534018,1559.0,57.0,True,,
dl__cnn__fusion__lovo__ebl-session__s44__7b9bf2,05,05,04,7403,1486,01,0.1285329744279946,0.1084986388361184,0.34185733512786,5.715976311251966,5.385164807134504,7.017091228820782,11.180339887498947,0.0188425302826379,0.652086137281292,15.4983547271695,1.7473235931247473,17.245678320294246,138708.0,0.1577934573444515,3.0,0.8605863109696656,1486.0,18.0,True,,
dl__cnn__fusion__lovo__ebl-session__s44__7b9bf2,06,06,05,7600,1289,01,0.0899922420480993,0.0821505260877127,0.7820015515903801,3.0829152512311446,2.8284271247461903,3.857428125777482,6.324555320336759,0.0224980605120248,0.6718386346004654,17.24437208706513,1.551202940987423,18.79557502805256,138708.0,0.202557200538358,5.0,0.8616741008474491,1289.0,20.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s42__dc4ee3,01,01,06,7331,1558,01,0.0872913992297817,0.0682718388291826,0.5455712451861361,4.260239023100785,4.123105625617661,5.216924664254144,9.055385138137416,0.0198973042362002,0.6527599486521181,22.079328909982,1.519194302149117,23.59852321213112,195636.0,0.1629169899146625,5.0,1.103526659263298,1558.0,20.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s42__dc4ee3,02,02,01,7478,1411,01,0.0652019844082211,0.0391765529899878,0.7002126151665485,4.068177205684949,3.605551275463989,4.777471939110321,7.615773105863909,0.0198440822111977,0.630049610205528,39.01794059202075,1.54676473303698,40.56470532505773,195636.0,0.1437740693196405,22.0,1.053973954737287,1411.0,37.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s42__dc4ee3,03,03,02,7303,1586,01,0.1191677175283732,0.0775182452956787,0.7370744010088273,3.541020403289296,2.8284271247461903,4.783193570346045,8.246211251235321,0.019546027742749,0.650063051702396,29.65764156007208,1.3729153398890048,31.030556899961084,195636.0,0.0793763288447909,13.0,1.0585276093916036,1586.0,28.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s42__dc4ee3,04,04,03,7330,1559,01,0.1648492623476587,0.1462238388342502,0.7581783194355356,3.602754865483767,3.0,4.858022731738817,9.055385138137416,0.0198845413726747,0.6555484284797948,22.780779254157096,1.3504582708701491,24.131237525027245,195636.0,0.1506935687263556,6.0,1.084179186361975,1559.0,21.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s42__dc4ee3,05,05,04,7403,1486,01,0.1911170928667564,0.1461975066603788,0.7395693135935397,3.360398586528761,2.23606797749979,4.722373083208495,8.246211251235321,0.0188425302826379,0.652086137281292,29.85676714405417,1.5655223450157791,31.42228948906996,195636.0,0.1539448364336113,13.0,1.0658086240956826,1486.0,28.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s42__dc4ee3,06,06,05,7600,1289,01,0.103956555469356,0.0915112698556142,0.847944142746315,3.1837320786580703,2.23606797749979,4.2097820991062,7.0,0.0224980605120248,0.6718386346004654,52.416865250095725,1.2838884349912405,53.700753685086966,195636.0,0.2496635262449529,35.0,1.047796225664206,1289.0,50.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s43__08cc8f,01,01,06,7331,1558,01,0.0847240051347881,0.0666593090537634,0.4184852374839538,4.692436085920072,4.47213595499958,5.725873085658469,10.04987562112089,0.0198973042362002,0.6527599486521181,21.01955226692371,1.5373165621422231,22.55686882906593,195636.0,0.1722265321955003,4.0,1.1056801882866574,1558.0,19.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s43__08cc8f,02,02,01,7478,1411,01,0.0666194188518781,0.0346616838504038,0.6924167257264352,3.886999753636212,3.1622776601683795,4.674978255216487,8.0,0.0198440822111977,0.630049610205528,60.1012918909546,1.2807959970086813,61.38208788796328,195636.0,0.1585365853658536,44.0,1.0181737194484952,1411.0,59.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s43__08cc8f,03,03,02,7303,1586,01,0.1242118537200504,0.0872074389886065,0.6860025220680959,3.499163384290864,3.1622776601683795,4.423584049002307,7.071067811865476,0.019546027742749,0.650063051702396,22.329989781836048,1.6808489721734077,24.01083875400945,195636.0,0.070871722182849,6.0,1.0629469406059278,1586.0,21.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s43__08cc8f,04,04,03,7330,1559,01,0.1250801796023091,0.0976181092530129,0.7286722257857601,3.4399715875683565,3.0,4.405809914265643,8.012451549659712,0.0198845413726747,0.6555484284797948,20.20754574495368,1.2827327940613031,21.49027853901498,195636.0,0.1418663303909205,3.0,1.1221407562390795,1559.0,18.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s43__08cc8f,05,05,04,7403,1486,01,0.1884253028263795,0.1491125526824204,0.6507402422611036,3.866909049746134,3.0,5.290548722708127,10.04987562112089,0.0188425302826379,0.652086137281292,26.69930510711856,1.2705635230522605,27.969868630170826,195636.0,0.1436818473380372,10.0,1.0674318455718457,1486.0,25.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s43__08cc8f,06,06,05,7600,1289,01,0.1024049650892164,0.0782265055429588,0.8176881303335919,3.430233302625649,2.8284271247461903,4.494717181826708,7.0,0.0224980605120248,0.6718386346004654,57.38439429807477,1.3118043828289956,58.69619868090376,195636.0,0.2543741588156124,40.0,1.042817006429488,1289.0,55.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s44__5ccebc,01,01,06,7331,1558,01,0.0994865211810012,0.0917696483065676,0.5885750962772786,4.202335557393736,3.605551275463989,5.185456605294419,9.055385138137416,0.0198973042362002,0.6527599486521181,29.04798193392344,1.3034955360926688,30.351477470016107,195636.0,0.1706749418153607,12.0,1.075248106900189,1558.0,27.0,True,,
dl__cnn_room__fusion__lovo__ebl-session__s44__5ccebc,02,02,01,7478,1411,01,0.073706591070163,0.0523276341324021,0.7278525868178597,4.0133603797275095,3.605551275463989,4.881298290196354,8.0,0.0198440822111977,0.630049610205528,45.93155290093273,1.3396702809259295,47.27122318185866,195636.0,0.1469833119383825,29.0,1.0433605428023094,1411.0,44.0,True,,
