class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,20.0,sqrt,2,2,300,0.7553516819571865,9.647450322983786,0.08562718308530748
balanced,20.0,sqrt,2,2,500,0.7828746177370031,15.883503571967594,0.11789674696046859
balanced,20.0,sqrt,2,2,800,0.7859327217125383,25.317749459994957,0.17059001908637583
balanced,20.0,sqrt,2,5,200,0.7767584097859327,6.448510450893082,0.0653966449899599
balanced,20.0,sqrt,2,5,300,0.7981651376146789,9.609265635022894,0.07675261702388525
balanced,20.0,sqrt,2,5,500,0.7981651376146789,16.329786495072767,0.12008238700218499
balanced,20.0,sqrt,2,5,800,0.8042813455657493,25.65588452690281,0.16454976703971624
balanced,20.0,sqrt,2,10,200,0.7553516819571865,6.405842022038996,0.06555751198902726
balanced,20.0,sqrt,2,10,300,0.7798165137614679,9.474895040970296,0.08769994089379907
balanced,20.0,sqrt,2,10,500,0.7767584097859327,15.728115563979372,0.10970741300843656
balanced,20.0,sqrt,2,10,800,0.7859327217125383,25.049863243941218,0.1725610139546916
balanced,20.0,sqrt,4,2,200,0.7767584097859327,6.222828816040419,0.0638521930668503
balanced,20.0,sqrt,4,2,300,0.7951070336391437,9.35762150597293,0.08573909697588533
balanced,20.0,sqrt,4,2,500,0.8012232415902141,15.39085100905504,0.12004108901601285
balanced,20.0,sqrt,4,2,800,0.7951070336391437,24.566938744043,0.1741411320399493
balanced,20.0,sqrt,4,5,200,0.7767584097859327,6.190750992973335,0.06778914690949023
balanced,20.0,sqrt,4,5,300,0.7951070336391437,9.203217322006822,0.07652500097174197
balanced,20.0,sqrt,4,5,500,0.8012232415902141,15.388227761955932,0.11886216304264963
balanced,20.0,sqrt,4,5,800,0.7951070336391437,24.458819413091987,0.18271809397265315
balanced,20.0,sqrt,4,10,200,0.7675840978593272,6.21315531199798,0.06481294601690024
balanced,20.0,sqrt,4,10,300,0.7859327217125383,9.24229136807844,0.08618137205485255
balanced,20.0,sqrt,4,10,500,0.7828746177370031,15.31603151303716,0.10932567494455725
balanced,20.0,sqrt,4,10,800,0.7706422018348624,24.400187960010953,0.17071026598569006
balanced,20.0,log2,1,2,200,0.7951070336391437,1.119969025021419,0.06881323596462607
balanced,20.0,log2,1,2,300,0.8165137614678899,1.6693705000216141,0.07737767300568521
balanced,20.0,log2,1,2,500,0.8134556574923547,2.7444505089661106,0.11897374503314495
balanced,20.0,log2,1,2,800,0.8287461773700305,4.341113304020837,0.1493375051068142
balanced,20.0,log2,1,5,200,0.7859327217125383,1.1085916629526764,0.05512251204345375
balanced,20.0,log2,1,5,300,0.7920489296636085,1.6159464919473976,0.07559230702463537
balanced,20.0,log2,1,5,500,0.8134556574923547,2.6770953320665285,0.0966778009897098
balanced,20.0,log2,1,5,800,0.8134556574923547,4.194029088015668,0.14848879596684128
balanced,20.0,log2,1,10,200,0.7920489296636085,1.078594243968837,0.05478388094343245
balanced,20.0,log2,1,10,300,0.7828746177370031,1.5718237060355023,0.08793236000929028
balanced,20.0,log2,1,10,500,0.7981651376146789,2.5914890629937872,0.1176664880476892
balanced,20.0,log2,1,10,800,0.8195718654434251,4.099073504912667,0.17380768503062427
balanced,20.0,log2,2,2,200,0.7859327217125383,1.0912837139330804,0.06890562502667308
balanced,20.0,log2,2,2,300,0.7951070336391437,1.6096913540968671,0.08649384905584157
balanced,20.0,log2,2,2,500,0.8012232415902141,2.6059146970510483,0.12425485695712268
balanced,20.0,log2,2,2,800,0.7981651376146789,4.2342774929711595,0.1720915799960494
balanced,20.0,log2,2,5,200,0.7798165137614679,1.0687778900610283,0.06474130193237215
balanced,20.0,log2,2,5,300,0.8134556574923547,1.5904638819629326,0.08488943299744278
balanced,20.0,log2,2,5,500,0.8226299694189603,2.6276090120663866,0.11731447197962552
balanced,20.0,log2,2,5,800,0.8165137614678899,4.134688274934888,0.14775834593456239
balanced,20.0,log2,2,10,200,0.7553516819571865,1.024909442057833,0.06640719005372375
balanced,20.0,log2,2,10,300,0.7584097859327217,1.5713040630798787,0.07572649989742786
