class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,10.0,log2,2,10,300,0.6181818181818182,1.0743766699451953,0.06497292208950967
balanced,10.0,log2,2,10,500,0.6242424242424243,1.7424065889790654,0.10657711303792894
balanced,10.0,log2,2,10,800,0.6303030303030303,2.763187231030315,0.1495143020292744
balanced,10.0,log2,4,2,200,0.5696969696969697,0.7246927069500089,0.053536394028924406
balanced,10.0,log2,4,2,300,0.6,1.0518229469889775,0.06496031593997031
balanced,10.0,log2,4,2,500,0.6212121212121212,1.7793085019802675,0.08621125598438084
balanced,10.0,log2,4,2,800,0.6393939393939394,2.775929677998647,0.14617930399253964
balanced,10.0,log2,4,5,200,0.5696969696969697,0.7539406509604305,0.054577504051849246
balanced,10.0,log2,4,5,300,0.6,1.0305627580964938,0.07460093393456191
balanced,10.0,log2,4,5,500,0.6212121212121212,1.7365475989645347,0.08767365000676364
balanced,10.0,log2,4,5,800,0.6393939393939394,2.7341543280053884,0.14791844505816698
balanced,10.0,log2,4,10,200,0.5787878787878787,0.758351081982255,0.05530441890005022
balanced,10.0,log2,4,10,300,0.5909090909090909,1.0628176160389557,0.07707722100894898
balanced,10.0,log2,4,10,500,0.6121212121212121,1.7519851579563692,0.10639493889175355
balanced,10.0,log2,4,10,800,0.6060606060606061,2.765677318093367,0.15145604696590453
balanced,20.0,sqrt,1,2,200,0.6666666666666666,4.830628271913156,0.05549407796934247
balanced,20.0,sqrt,1,2,300,0.706060606060606,7.292746676015668,0.06607417610939592
balanced,20.0,sqrt,1,2,500,0.693939393939394,12.037295286892913,0.10911836102604866
balanced,20.0,sqrt,1,2,800,0.693939393939394,19.313916955026798,0.14707208005711436
balanced,20.0,sqrt,1,5,200,0.6363636363636364,4.963529789005406,0.056015648995526135
balanced,20.0,sqrt,1,5,300,0.6909090909090909,7.204033472924493,0.07570699707139283
balanced,20.0,sqrt,1,5,500,0.693939393939394,11.973288294975646,0.1073292309883982
balanced,20.0,sqrt,1,5,800,0.703030303030303,19.04974962596316,0.15857524191960692
balanced,20.0,sqrt,1,10,200,0.6545454545454545,4.7984356679953635,0.05442151101306081
balanced,20.0,sqrt,1,10,300,0.6636363636363637,7.10531168198213,0.06463798007462174
balanced,20.0,sqrt,1,10,500,0.6727272727272727,12.500961207901128,0.10599113698117435
balanced,20.0,sqrt,1,10,800,0.6909090909090909,19.188627858064137,0.15959686203859746
balanced,20.0,sqrt,2,2,200,0.6696969696969697,4.758055403945036,0.05350735108368099
balanced,20.0,sqrt,2,2,300,0.6909090909090909,7.338758183061145,0.07627937092911452
balanced,20.0,sqrt,2,2,500,0.693939393939394,11.8681739900494,0.1065143879968673
balanced,20.0,sqrt,2,2,800,0.696969696969697,18.965859770891257,0.14682224998250604
balanced,20.0,sqrt,2,5,200,0.6696969696969697,4.790177055052482,0.05549268890172243
balanced,20.0,sqrt,2,5,300,0.6757575757575758,7.122049506986514,0.07921690307557583
balanced,20.0,sqrt,2,5,500,0.6878787878787879,11.889543575933203,0.09539864701218903
balanced,20.0,sqrt,2,5,800,0.6909090909090909,18.85559812397696,0.1574215010041371
balanced,20.0,sqrt,2,10,200,0.6545454545454545,4.716444605030119,0.05537532898597419
balanced,20.0,sqrt,2,10,300,0.6666666666666666,7.165715305018239,0.06435154809150845
balanced,20.0,sqrt,2,10,500,0.6636363636363637,11.738517457037233,0.10546568501740694
balanced,20.0,sqrt,2,10,800,0.6757575757575758,18.835892382077873,0.16136159806046635
balanced,20.0,sqrt,4,2,200,0.6424242424242425,4.651004243060015,0.05428215500432998
balanced,20.0,sqrt,4,2,300,0.6515151515151515,7.019091197056696,0.07494974602013826
balanced,20.0,sqrt,4,2,500,0.6636363636363637,11.574256133055314,0.11041670700069517
balanced,20.0,sqrt,4,2,800,0.6727272727272727,18.588931969949044,0.15877703297883272
balanced,20.0,sqrt,4,5,200,0.6424242424242425,4.6503030330641195,0.060141780064441264
balanced,20.0,sqrt,4,5,300,0.6515151515151515,6.977872936055064,0.07606410898733884
balanced,20.0,sqrt,4,5,500,0.6636363636363637,11.74418646004051,0.11116857104934752
balanced,20.0,sqrt,4,5,800,0.6727272727272727,18.50216122402344,0.1623029379406944
balanced,20.0,sqrt,4,10,200,0.6484848484848484,4.654138717916794,0.05550380307249725
balanced,20.0,sqrt,4,10,300,0.6696969696969697,7.215025298995897,0.0779716350371018
balanced,20.0,sqrt,4,10,500,0.6878787878787879,11.535160974948667,0.09538375597912818
balanced,20.0,sqrt,4,10,800,0.7,18.379043204011396,0.1592981619760394
balanced,20.0,log2,1,2,200,0.706060606060606,1.1261287200031802,0.05546872899867594
balanced,20.0,log2,1,2,300,0.7212121212121212,1.6879243279108778,0.07455196604132652
balanced,20.0,log2,1,2,500,0.7484848484848485,2.769189572078176,0.10663265699986368
balanced,20.0,log2,1,2,800,0.7545454545454545,4.408426197012886,0.17092287400737405
balanced,20.0,log2,1,5,200,0.693939393939394,1.1555477740475908,0.0549545509275049
balanced,20.0,log2,1,5,300,0.7242424242424242,1.6775067870039493,0.07598511397372931
balanced,20.0,log2,1,5,500,0.7333333333333333,2.7655346000101417,0.11667399608995765
balanced,20.0,log2,1,5,800,0.7424242424242424,4.387341530993581,0.16915698791854084
balanced,20.0,log2,1,10,200,0.6757575757575758,1.1073921929346398,0.055122905992902815
balanced,20.0,log2,1,10,300,0.7181818181818181,1.6559892429504544,0.07462741492781788
balanced,20.0,log2,1,10,500,0.7,2.7111261959653348,0.10679715499281883
balanced,20.0,log2,1,10,800,0.6909090909090909,4.29955079802312,0.16963824909180403
balanced,20.0,log2,2,2,200,0.696969696969697,1.0951313019031659,0.05484833300579339
balanced,20.0,log2,2,2,300,0.7212121212121212,1.6324470330728218,0.07438369304873049
balanced,20.0,log2,2,2,500,0.7333333333333333,2.6904320010216907,0.10820801800582558
balanced,20.0,log2,2,2,800,0.7363636363636363,4.3216240969486535,0.15906968200579286
balanced,20.0,log2,2,5,200,0.6696969696969697,1.105335221043788,0.054048068006522954
balanced,20.0,log2,2,5,300,0.6787878787878788,1.6222920999862254,0.07545367896091193
balanced,20.0,log2,2,5,500,0.7242424242424242,2.68205693596974,0.10605383396614343
balanced,20.0,log2,2,5,800,0.7454545454545455,4.31063558103051,0.15898404200561345
balanced,20.0,log2,2,10,200,0.7121212121212122,1.106829414027743,0.05446336208842695
balanced,20.0,log2,2,10,300,0.7181818181818181,1.6025781199568883,0.0644029249669984
balanced,20.0,log2,2,10,500,0.7121212121212122,2.6649940259521827,0.10728696396108717
balanced,20.0,log2,2,10,800,0.7090909090909091,4.268219133024104,0.17092877090908587
balanced,20.0,log2,4,2,200,0.6757575757575758,1.05638345296029,0.05476747395005077
balanced,20.0,log2,4,2,300,0.693939393939394,1.5545131680555642,0.0755782350897789
balanced,20.0,log2,4,2,500,0.703030303030303,2.591773748048581,0.1068608429050073
balanced,20.0,log2,4,2,800,0.7151515151515152,4.130316262017004,0.16942177701275796
balanced,20.0,log2,4,5,200,0.6757575757575758,1.092436229926534,0.05501893104519695
balanced,20.0,log2,4,5,300,0.693939393939394,1.5831091540167108,0.07682568801101297
balanced,20.0,log2,4,5,500,0.703030303030303,2.5718841190682724,0.10824806394521147
balanced,20.0,log2,4,5,800,0.7151515151515152,4.119898784090765,0.14894263993483037
balanced,20.0,log2,4,10,200,0.6848484848484848,1.0590114699443802,0.055297574028372765
balanced,20.0,log2,4,10,300,0.693939393939394,1.5833654619054869,0.07609983906149864
balanced,20.0,log2,4,10,500,0.693939393939394,2.5707448390312493,0.10789317404851317
balanced,20.0,log2,4,10,800,0.7090909090909091,4.1104200560366735,0.15858708193991333
balanced,40.0,sqrt,1,2,200,0.7090909090909091,6.3665827478980646,0.0543227840680629
balanced,40.0,sqrt,1,2,300,0.7272727272727273,9.671802810044028,0.0685816400218755
balanced,40.0,sqrt,1,2,500,0.7424242424242424,16.021122475038283,0.10755371302366257
balanced,40.0,sqrt,1,2,800,0.7484848484848485,25.590750292991288,0.16070857108570635
balanced,40.0,sqrt,1,5,200,0.7242424242424242,6.320534308906645,0.05594916804693639
balanced,40.0,sqrt,1,5,300,0.7515151515151515,9.48487862793263,0.06461203808430582
balanced,40.0,sqrt,1,5,500,0.7575757575757576,15.611271347035654,0.1115625019883737
balanced,40.0,sqrt,1,5,800,0.7545454545454545,25.091658900957555,0.15929440897889435
balanced,40.0,sqrt,1,10,200,0.7151515151515152,6.13975524099078,0.05656308401376009
balanced,40.0,sqrt,1,10,300,0.7272727272727273,9.368335891980678,0.07689671299885958
balanced,40.0,sqrt,1,10,500,0.7393939393939394,15.501285376027226,0.0980290969600901
balanced,40.0,sqrt,1,10,800,0.7151515151515152,24.635540765011683,0.16289613803382963
balanced,40.0,sqrt,2,2,200,0.7303030303030303,6.248942542937584,0.05518455500714481
balanced,40.0,sqrt,2,2,300,0.7484848484848485,9.350374810048379,0.0752533070044592
balanced,40.0,sqrt,2,2,500,0.7484848484848485,15.377998447045684,0.08746575505938381
balanced,40.0,sqrt,2,2,800,0.7545454545454545,24.740749854943715,0.1494127990445122
balanced,40.0,sqrt,2,5,200,0.693939393939394,6.17217816808261,0.05445561103988439
balanced,40.0,sqrt,2,5,300,0.7242424242424242,9.201267911004834,0.06575722200796008
balanced,40.0,sqrt,2,5,500,0.7484848484848485,15.336682113003917,0.09907584101893008
balanced,40.0,sqrt,2,5,800,0.7424242424242424,24.489889181917533,0.1608791840262711
balanced,40.0,sqrt,2,10,200,0.703030303030303,6.154538154951297,0.05496526102069765
balanced,40.0,sqrt,2,10,300,0.7121212121212122,9.08623210596852,0.06550616398453712
balanced,40.0,sqrt,2,10,500,0.7151515151515152,15.096244439017028,0.10801100300159305
balanced,40.0,sqrt,2,10,800,0.7151515151515152,24.152174917049706,0.15827847900800407
balanced,40.0,sqrt,4,2,200,0.7090909090909091,5.809151800000109,0.05621112696826458
balanced,40.0,sqrt,4,2,300,0.7151515151515152,8.678875319077633,0.06613478297367692
balanced,40.0,sqrt,4,2,500,0.7272727272727273,14.441565894987434,0.10728451400063932
balanced,40.0,sqrt,4,2,800,0.7212121212121212,22.969453328987584,0.16176336992066354
balanced,40.0,sqrt,4,5,200,0.7090909090909091,5.800224147038534,0.05423491005785763
balanced,40.0,sqrt,4,5,300,0.7151515151515152,8.706829795963131,0.07467690296471119
balanced,40.0,sqrt,4,5,500,0.7272727272727273,14.388054839102551,0.10895327804610133
balanced,40.0,sqrt,4,5,800,0.7212121212121212,22.921525604091585,0.15999870898667723
balanced,40.0,sqrt,4,10,200,0.6878787878787879,5.785981624969281,0.05435937596485019
balanced,40.0,sqrt,4,10,300,0.7121212121212122,8.863098059897311,0.06548870203550905
balanced,40.0,sqrt,4,10,500,0.7333333333333333,14.188296230975538,0.10768762603402138
balanced,40.0,sqrt,4,10,800,0.7393939393939394,22.793190816999413,0.1604287551017478
balanced,40.0,log2,1,2,200,0.7393939393939394,1.3806178950471804,0.05480027000885457
balanced,40.0,log2,1,2,300,0.7757575757575758,2.0473653860390186,0.06606707908213139
balanced,40.0,log2,1,2,500,0.7727272727272727,3.42850590206217,0.10620577202644199
balanced,40.0,log2,1,2,800,0.7878787878787878,5.439754078979604,0.1577130319783464
balanced,40.0,log2,1,5,200,0.7696969696969697,1.336870850995183,0.05388894502539188
balanced,40.0,log2,1,5,300,0.7666666666666667,2.0282043520128354,0.07792196003720164
balanced,40.0,log2,1,5,500,0.7636363636363637,3.332708679023199,0.098042479949072
balanced,40.0,log2,1,5,800,0.7666666666666667,5.293937562964857,0.1592528639594093
balanced,40.0,log2,1,10,200,0.7303030303030303,1.3248998019844294,0.05573673907201737
balanced,40.0,log2,1,10,300,0.7545454545454545,1.9070330560207367,0.07716690306551754
balanced,40.0,log2,1,10,500,0.7454545454545455,3.1760487619321793,0.10854063311126083
balanced,40.0,log2,1,10,800,0.7575757575757576,5.044024767004885,0.160109929041937
balanced,40.0,log2,2,2,200,0.7606060606060606,1.33006037294399,0.054991387063637376
balanced,40.0,log2,2,2,300,0.7787878787878788,1.9508167629828677,0.06764959602151066
balanced,40.0,log2,2,2,500,0.7848484848484848,3.2096628530416638,0.10877694399096072
balanced,40.0,log2,2,2,800,0.7787878787878788,5.165434338967316,0.15954243403393775
balanced,40.0,log2,2,5,200,0.7242424242424242,1.2882264499785379,0.05586884100921452
balanced,40.0,log2,2,5,300,0.7272727272727273,1.9360429459484294,0.0742321569705382
balanced,40.0,log2,2,5,500,0.7545454545454545,3.2194421120220795,0.1097645639674738
balanced,40.0,log2,2,5,800,0.7575757575757576,5.08295160101261,0.15034122194629163
balanced,40.0,log2,2,10,200,0.7363636363636363,1.2514885789714754,0.0556398470653221
balanced,40.0,log2,2,10,300,0.7272727272727273,1.8619379069423303,0.06569672201294452
balanced,40.0,log2,2,10,500,0.7303030303030303,3.135774067020975,0.10713406803552061
balanced,40.0,log2,2,10,800,0.7363636363636363,4.9008860000176355,0.15721306193154305
balanced,40.0,log2,4,2,200,0.7121212121212122,1.195110548986122,0.05642919195815921
balanced,40.0,log2,4,2,300,0.7363636363636363,1.7816145110409707,0.0740237149875611
balanced,40.0,log2,4,2,500,0.7454545454545455,2.971073573920876,0.10757989494595677
balanced,40.0,log2,4,2,800,0.7454545454545455,4.637732955976389,0.1611801820108667
